VOIVODSHIPS;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
TOTAL;28056;31158;33741;35658;37524;40669;42285;43034;44705;46814;48433;51776
DOLNOŚLĄSKIE;30076;33942;36507;38845;42295;46296;47986;48179;50061;52237;53659;57228
KUJAWSKO-POMORSKIE;24259;26854;28965;29746;31127;33231;34365;35280;36387;38202;39503;41875
LUBELSKIE;19359;21745;23956;24489;25875;28282;29648;30449;31192;32077;33371;35712
LUBUSKIE;25155;27778;29265;30388;31723;33738;35078;35786;37637;39053;40639;42755
ŁÓDZKIE;25863;28751;31324;32822;34747;37620;39403;40145;41869;43790;45199;48126
MAŁOPOLSKIE;25308;27739;30257;31651;32909;36119;37334;38167;39834;42172;43865;47272
MAZOWIECKIE;43494;48330;51600;55738;59666;64473;67389;69028;71715;74738;77360;83123
OPOLSKIE;22852;26176;29043;29892;30818;33237;34152;34640;36299;37818;38553;41080
PODKARPACKIE;20039;21961;24191;25159;26122;28545;29554;30585;31644;33177;34120;36088
PODLASKIE;20378;23113;24599;26130;27381;29672;30288;31374;32352;33276;34300;37077
POMORSKIE;27690;30729;32259;34829;36017;39054;41341;41457;42570;45001;46913;50001
ŚLĄSKIE;29744;32915;36146;38339;40201;43693;44863;44796;46511;48686;50184;53654
ŚWIĘTOKRZYSKIE;21921;24762;27762;28090;28968;30957;31642;31392;32643;33844;34633;36970
WARMIŃSKO-MAZURSKIE;20921;23009;24886;25988;27197;29257;30232;30776;31957;33186;34532;36306
WIELKOPOLSKIE;29819;32895;35669;38431;39454;42753;44774;46150;48015;50821;52844;56496
ZACHODNIOPOMORSKIE;25212;27539;30205;30821;32061;34116;35453;35851;37477;39585;40594;43150